<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	09:00:00	120333	120621	120146	120372	593273	1731757	1
2022.01.03	10:00:00	120372	121294	120140	120666	973700	3138280	1
2022.01.03	11:00:00	120666	120672	118031	118506	1074136	3806456	1
2022.01.03	12:00:00	118506	119122	118399	119021	527266	1803403	1
2022.01.03	13:00:00	119015	119286	118704	119162	435912	1521065	1
2022.01.03	14:00:00	119162	119253	118964	119105	343763	1210172	1
2022.01.03	15:00:00	119111	119219	118936	119122	263808	954009	1
2022.01.03	16:00:00	119122	119258	119004	119060	273872	1025839	1
2022.01.03	17:00:00	119060	119089	118613	118715	309099	1118881	1
2022.01.03	18:00:00	118715	118772	118421	118483	81181	248990	1
2022.01.04	09:00:00	119253	119643	119021	119541	730333	2243144	1
2022.01.04	10:00:00	119541	119564	118065	118461	1153303	3724874	1
2022.01.04	11:00:00	118466	118625	117669	118138	862329	2866173	1
2022.01.04	12:00:00	118133	119105	118054	118698	620217	2083497	1
2022.01.04	13:00:00	118704	118727	118240	118619	506875	1677334	1
2022.01.04	14:00:00	118625	118715	118370	118483	411173	1444765	1
2022.01.04	15:00:00	118483	118630	117958	118167	427479	1491810	1
2022.01.04	16:00:00	118172	118427	117850	118037	321947	1219062	1
2022.01.04	17:00:00	118037	118229	117912	118122	202595	757300	1
2022.01.04	18:00:00	118122	118161	117918	118116	62818	203211	1
2022.01.05	09:00:00	118269	118410	117386	117692	697526	2169467	1
2022.01.05	10:00:00	117686	117822	116900	117285	1052887	3482851	1
2022.01.05	11:00:00	117279	117946	116866	117918	909539	3186400	1
2022.01.05	12:00:00	117918	118150	117313	117794	668290	2377197	1
2022.01.05	13:00:00	117799	117878	117081	117302	497935	1802157	1
2022.01.05	14:00:00	117302	117443	116465	116482	516098	1909248	1
2022.01.05	15:00:00	116482	116578	116193	116272	374317	1356603	1
2022.01.05	16:00:00	116278	116487	115435	115605	612679	2323102	1
2022.01.05	17:00:00	115599	115633	115051	115243	456211	1726262	1
2022.01.05	18:00:00	115243	115271	114887	114887	87143	346519	1
2022.01.06	09:00:00	115334	115814	114960	115780	775531	2284995	1
2022.01.06	10:00:00	115786	116012	115249	115809	1104226	3535555	1
2022.01.06	11:00:00	115814	116459	115543	115956	971187	3218191	1
2022.01.06	12:00:00	115961	116696	115605	116419	838126	2758895	1
2022.01.06	13:00:00	116419	116640	115973	116244	585144	1946490	1
2022.01.06	14:00:00	116238	116510	116103	116199	491799	1654524	1
2022.01.06	15:00:00	116193	116221	115718	116046	478101	1628529	1
2022.01.06	16:00:00	116046	116154	115571	115656	389564	1375799	1
2022.01.06	17:00:00	115656	115786	115492	115633	312477	1146610	1
2022.01.06	18:00:00	115633	116040	115616	116040	73493	267188	1
2022.01.07	09:00:00	115797	116176	115718	116035	590440	1778609	1
2022.01.07	10:00:00	116035	116125	115198	116029	1197095	3944895	1
2022.01.07	11:00:00	116024	116793	115939	116742	905724	3204759	1
2022.01.07	12:00:00	116736	116753	115741	115876	653952	2402296	1
2022.01.07	13:00:00	115871	116504	115650	116408	537559	1980688	1
2022.01.07	14:00:00	116408	116606	116244	116487	419291	1518506	1
2022.01.07	15:00:00	116487	116928	116414	116663	391972	1513965	1
2022.01.07	16:00:00	116668	116889	116572	116804	294799	1155902	1
2022.01.07	17:00:00	116798	116889	116668	116793	228199	931954	1
2022.01.07	18:00:00	116793	117307	116747	116957	89787	296693	1
2022.01.10	09:00:00	116380	116855	116007	116024	546458	1666941	1
2022.01.10	10:00:00	116024	116606	115876	116487	990532	3448444	1
2022.01.10	11:00:00	116487	116951	115616	115633	1017372	3678055	1
2022.01.10	12:00:00	115633	115639	115079	115503	673602	2540679	1
2022.01.10	13:00:00	115503	115927	115447	115831	530843	1948710	1
2022.01.10	14:00:00	115831	115871	115435	115599	456711	1798691	1
2022.01.10	15:00:00	115594	115967	115565	115893	481303	2032527	1
2022.01.10	16:00:00	115888	116244	115831	115939	449820	1723707	1
2022.01.10	17:00:00	115939	116165	115543	116131	411384	1580026	1
2022.01.10	18:00:00	116131	116849	116091	116849	99800	399597	1
2022.01.11	09:00:00	116945	117194	116103	116137	482818	1506824	1
2022.01.11	10:00:00	116137	116894	116001	116793	1058152	3863617	1
2022.01.11	11:00:00	116793	117002	116357	116945	938824	3477713	1
2022.01.11	12:00:00	116951	117545	116945	117347	727420	2739952	1
2022.01.11	13:00:00	117347	118020	117335	117895	497117	1987566	1
2022.01.11	14:00:00	117890	117952	117737	117901	287983	1155749	1
2022.01.11	15:00:00	117907	118105	117692	117974	375423	1600558	1
2022.01.11	16:00:00	117974	118133	117844	118048	304419	1386934	1
2022.01.11	17:00:00	118042	118359	117907	118291	229248	1094705	1
2022.01.11	18:00:00	118291	118613	118240	118500	78368	341126	1
2022.01.12	09:00:00	118529	118659	118048	118150	643560	2037758	1
2022.01.12	10:00:00	118155	119535	118088	119473	1053266	3727830	1
2022.01.12	11:00:00	119473	120231	119394	120214	822310	2998736	1
